Instituição financeira,Data,CAR,NPM,ROA,ROE
PINE - PRUDENCIAL,01/06/2015,CAR,0.07903418,0.005264075,0.044588423
PINE - PRUDENCIAL,01/03/2015,"0,1305",0.018359757,0.000922237,0.008089038
ABC-BRASIL - PRUDENCIAL,01/03/2016,"0,1305",-0.350096708,-0.007947284,-0.070892259
ABC-BRASIL - PRUDENCIAL,01/09/2019,"0,1715",0.125808836,0.00487265,0.045217661
ABC-BRASIL - PRUDENCIAL,01/06/2019,"0,1741",0.200916504,0.007181662,0.06498323
ABC-BRASIL - PRUDENCIAL,01/06/2016,"0,1791",0.329641587,-0.015888784,-0.134427742
ABC-BRASIL - PRUDENCIAL,01/03/2020,"0,1787",0.146968417,0.010935573,0.131894079
ABC-BRASIL - PRUDENCIAL,01/12/2019,"0,1466",0.578612035,0.026477504,0.237581458
ABC-BRASIL - PRUDENCIAL,01/12/2015,"0,1689",-0.19762752,-0.013868683,-0.133723001
ABC-BRASIL - PRUDENCIAL,01/03/2015,"0,1618",0.337526047,0.013519816,0.137432027
ABC-BRASIL - PRUDENCIAL,01/09/2015,"0,1418",-0.109962427,-0.033680976,-0.366542473
ABC-BRASIL - PRUDENCIAL,01/09/2016,"0,1457",-0.638956969,-0.009971916,-0.082963069
PINE - PRUDENCIAL,01/09/2015,"0,1842",-0.111094565,-0.007128516,-0.059386798
ABC-BRASIL - PRUDENCIAL,01/06/2015,"0,1307",0.034312415,0.002273083,0.022477713
ABC-BRASIL - PRUDENCIAL,01/09/2018,"0,148",0.18764537,0.005191192,0.044942994
ABC-BRASIL - PRUDENCIAL,01/06/2020,"0,1617",0.088183324,0.00957735,0.114898032
ABC-BRASIL - PRUDENCIAL,01/03/2019,"0,1572",0.176859829,0.003532395,0.031260901
ABC-BRASIL - PRUDENCIAL,01/06/2018,"0,1731",0.196137315,0.012358693,0.111596736
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2016,"0,1614",0.217174078,0.006369598,0.041354609
PINE - PRUDENCIAL,01/03/2016,"0,1745",-0.115744128,-0.018247265,-0.125257254
ABC-BRASIL - PRUDENCIAL,01/06/2021,"0,1515",0.253056035,0.005958849,0.058025597
ABC-BRASIL - PRUDENCIAL,01/12/2016,"0,1589",0.160721856,0.008366452,0.074296536
ABC-BRASIL - PRUDENCIAL,01/03/2017,"0,1789",0.160721856,0.008366452,0.074296536
ABC-BRASIL - PRUDENCIAL,01/03/2018,"0,1789",0.184007866,0.003827116,0.031740764
INTER - PRUDENCIAL,01/12/2015,"0,1612",0.057342042,0.006371748,0.048810713
ABC-BRASIL - PRUDENCIAL,01/12/2018,"0,2008",0.186975302,0.00695799,0.062127524
ABC-BRASIL - PRUDENCIAL,01/03/2021,"0,1716",0.063954716,0.002556306,0.027870517
ABC-BRASIL - PRUDENCIAL,01/09/2020,"0,1594",0.252165806,0.007728395,0.083967832
INTER - PRUDENCIAL,01/06/2015,"0,1571",-0.058951439,-0.005693553,-0.038985764
INTER - PRUDENCIAL,01/03/2016,"0,2106",0.061816295,0.003541449,0.028284896
ABC-BRASIL - PRUDENCIAL,01/12/2017,"0,1927",0.176607936,0.007064653,0.061881419
ABC-BRASIL - PRUDENCIAL,01/12/2020,"0,1631",0.135066403,0.004203161,0.041849812
PINE - PRUDENCIAL,01/12/2015,"0,1685",0.352474437,0.029394587,0.213162925
INTER - PRUDENCIAL,01/09/2018,"0,1501",0.105773956,0.003739727,0.019997074
ABC-BRASIL - PRUDENCIAL,01/06/2017,"0,3115",0.144708083,0.007373933,0.06331612
ABC-BRASIL - PRUDENCIAL,01/09/2017,"0,1618",-0.313878233,-0.006064504,-0.05127063
INTER - PRUDENCIAL,01/06/2016,"0,1705",0.043346045,0.004595109,0.038771183
BMG - PRUDENCIAL,01/12/2015,"0,1872",-0.02959375,-0.029598195,-0.016519368
PINE - PRUDENCIAL,01/06/2016,"0,1909",0.020978369,0.000906235,0.006562875
BRADESCO - PRUDENCIAL,01/06/2016,"0,1592",0.114813851,0.008954369,0.085681177
INTER - PRUDENCIAL,01/09/2016,"0,176",0.052222195,0.027212707,0.024211048
BRADESCO - PRUDENCIAL,01/12/2015,"0,183",0.14413717,0.009520137,0.095288098
INTER - PRUDENCIAL,01/12/2017,"0,168",0.075341298,0.005552234,0.051893415
BRADESCO - PRUDENCIAL,01/03/2016,"0,1717",0.116047984,0.004679753,0.044156033
BRADESCO - PRUDENCIAL,01/06/2015,"0,1686",0.155451522,0.010238504,0.100226788
INTER - PRUDENCIAL,01/12/2016,"0,1598",-0.130050328,-0.010779822,-0.099370076
INTER - PRUDENCIAL,01/03/2017,"0,1852",-0.130050328,-0.010779822,-0.099370076
BRADESCO - PRUDENCIAL,01/09/2015,"0,1852",0.161525408,0.005270931,0.053885864
INTER - PRUDENCIAL,01/09/2017,"0,1446",0.097039021,0.003782235,0.034232211
INTER - PRUDENCIAL,01/06/2017,"0,1652",0.215704672,0.021697382,0.175208562
SANTANDER - PRUDENCIAL,01/03/2015,"0,1742",0.053048354,0.00119401,0.01259314
PAN - PRUDENCIAL,01/03/2015,"0,1598",-0.036115616,-0.002652696,-0.019635795
BMG - PRUDENCIAL,01/06/2016,"0,1682",0.068210283,0.029649285,0.016256109
INTER - PRUDENCIAL,01/03/2018,"0,1437",-0.083994375,-0.022773309,-0.022348798
BMG - PRUDENCIAL,01/09/2016,"0,154",0.011447865,0.000511607,0.002795107
SANTANDER - PRUDENCIAL,01/09/2015,"0,1541",0.143278038,0.002246036,0.0266076
INTER - PRUDENCIAL,01/06/2018,"0,1583",0.096059408,0.006051927,0.030565555
SANTANDER - PRUDENCIAL,01/12/2015,"0,3397",0.073755358,0.003643207,0.043641174
BMG - PRUDENCIAL,01/03/2016,"0,1572",0.332498272,-0.03947823,-0.021004753
SANTANDER - PRUDENCIAL,01/03/2016,"0,1618",0.042710963,0.001598688,0.017902167
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/06/2015,"0,1644",0.043670625,0.00249884,0.105784028
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/03/2016,"0,1399",0.016336185,0.00044662,0.020648724
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/09/2015,"0,137",0.066926567,0.002372489,0.101232386
SANTANDER - PRUDENCIAL,01/06/2016,"0,1422",0.049808494,0.003973228,0.042250598
SANTANDER - PRUDENCIAL,01/06/2015,"0,1767",0.140768351,0.007392394,0.071720843
BRADESCO - PRUDENCIAL,01/03/2015,"0,1805",0.127106447,0.003844525,0.039491796
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,01/03/2015,"0,1523",0.035172554,0.001088745,0.044360872
